id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
1442388;;;;;;;;;;;dblpnote/withdrawn;2013-02-10;;;;;;informal publication;;;;;(paper withdrawn);;;;;
1442389;;;;;;;;;;;dblpnote/retracted;2013-02-12;;;;;;informal publication;;;;;(paper retracted);;;;;
1442390;;;;;;;;;;;dblpnote/duplicate;2013-02-13;;;;;;informal publication;;;;;(duplicate entry was deleted);;;;;
1442391;;;;;;;;;;;dblpnote/neverpublished;2013-02-12;;;;;;informal publication;;;;;(was never published);;;;;
1442392;;;;;;;;;;;dblpnote/ellipsis;2013-02-12;;;;;;informal publication;;;;;…;;;;;
1442393;Markus Müller-Olm;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-08;2011-12-29;;;;;;informal publication;;;;;Precise Interprocedural Dependence Analysis of Parallel Programs;;;;02-08;2002
1442394;Peter Gritzmann|Thomas Burger|Victor Klee;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-14;2011-12-29;;;;;;informal publication;;;;;Polytope Projection and Projection Polytopes;;;;95-14;1995
1442395;E. Levitin;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI01-08;2011-12-29;;;;;;informal publication;;;;;Reduction of Generalized Semi-Infinite Programming Problems to Semi-Infinite or Piece-Wise Smooth Programming Problems;;;;01-08;2001
1442396;Matthias Heinkenschloss;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-24;2011-12-29;;;;;;informal publication;;;;;Numerical Solution of a Semilinear Parabolic Control Problem;;;;92-24;1992
1442397;Belinda B. King;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-09;2011-12-29;;;;;;informal publication;;;;;Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems;;;;97-09;1997
1442398;Carsten Damm|Stasys Jukna;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-09;2011-12-29;;;;;;informal publication;;;;;On Multiparity Games for Pointer Jumping;;;;95-09;1995
1442399;Carsten Damm|Christoph Meinel|Matthias Krause 0001|Stephan Waack;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-01;2013-12-22;;;;;;informal publication;;;;;Separating Counting Communication Complexity Classes;;;;92-01;1992
1442400;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-04;2011-12-29;;;;;;informal publication;;;;;Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen;;;;95-04;1995
1442401;Christoph W. Keßler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-12;2011-12-29;;;;;;informal publication;;;;;Scheduling Expression DAGs for Minimal Register Need;;;;96-12;1996
1442402;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI00-07;2011-12-29;;;;;;informal publication;;;;;On Markov-Additive Jump Processes;;;;00-07;2000
1442403;Ekkehard W. Sachs|Heidi Jäger;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-20;2011-12-29;;;;;;informal publication;;;;;Global Convergence of Inexact Reduced SQP Methods;;;;95-20;1995
1442404;Richard Rödler;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-09;2011-12-29;;;;;;informal publication;;;1;;On the Rareness of Disturbed Martingales in the Class of all Uniformly L;;;http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_01.html;99-09;1999
1442405;Anna Bernasconi|Carsten Damm|Igor Shparlinski;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-21;2011-12-29;;;;;;informal publication;;;;;Circuit and Decision Tree Complexity of Some Number Theoretic Problems;;;;98-21;1998
1442406;D. Prangenberg|Peter Gritzmann|R. J. Gardner;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-24;2011-12-29;;;;;;informal publication;;;;;On the Reconstruction of Binary Images from Their Discrete Radon Transforms;;;;96-24;1996
1442407;Jürgen Huschens;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-22;2011-12-29;;;;;;informal publication;;;;;On Multiplicative Structure in Quasi-Newton Methods for Nonlinear Equations;;;;92-22;1992
1442408;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-25;2011-12-29;;;;;;informal publication;;;;;Accelerating OBDD-Minimization by Means of Structural and Semantical Properties;;;;98-25;1998
1442409;Christoph W. Keßler|Helmut Seidl;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI95-23;2011-12-29;;;;;;informal publication;;;;;Language Support for Synchronous Parallel Critical Sections;;;;95-23;1995
1442410;Peter Gritzmann|R. J. Gardner;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI92-03;2011-12-29;;;;;;informal publication;;;;;Successive Determination and Verification of Polytopes by their X-Rays;;;;92-03;1992
1442411;Harald Luschgy;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI97-08;2011-12-29;;;;;;informal publication;;;;;Complete Families of Invariant Distributions;;;;97-08;1997
1442412;Patrick Justen;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-19;2011-12-29;;;;;;informal publication;;;;;Optimal Control of Thermally Coupled Navier-Stokes Equations in Food Industry;;;;98-19;1998
1442413;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI03-01;2011-12-29;;;;;;informal publication;;;;;Räumliche Markov-additive Prozesse und Bedienstationen ohne Warteraum;;;;03-01;2003
1442414;Martin Mundhenk;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI99-21;2011-12-29;;;;;;informal publication;;;;;Propositional Proofs and Their Complexity;;;;99-21;1999
1442415;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI98-10;2011-12-29;;;;;;informal publication;;;;;Neue Ergebnisse für BMAPs und räumliche Warteschlangen;;;;98-10;1998
1442416;Martin Gugat;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI94-11;2011-12-29;;;;;;informal publication;;;;;A Fast and Robust Algorithm for a Class of Generalized Fractional Programs;;;;94-11;1994
1442417;Nguyen V. Thoai|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI93-15;2011-12-29;;;;;;informal publication;;;;;Constraint Decomposition Algorithms in Global Optimization;;;;93-15;1993
1442418;Dieter Baum;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-10;2011-12-29;;;;;;informal publication;;;;;BMAP/G/1-Queues: Properties of the Fundamental-Period-Matrix G;;;;96-10;1996
1442419;Mirjam Dür|Reiner Horst;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-38;2011-12-29;;;;;;informal publication;;;;;Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization;;;;96-38;1996
1442420;Anna Slobodová|Christoph Meinel;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-40;2011-12-29;;;;;;informal publication;;;;;Speeding up Variable Reordering of OBDDs ;;;;96-40;1996
1442421;Lothar Breuer;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI02-02;2011-12-29;;;;;;informal publication;;;;;On the Distribution of càdlàg Processes without Explosions;;;;02-02;2002
1442422;Klaus Lux|Markus Wiegelmann;;;;;;;;;Universität Trier, Mathematik/Informatik, Forschungsbericht;tr/trier/MI96-30;2011-12-29;;;;;;informal publication;;;;;Determination of Socle Series using the Condensation Method;;;;96-30;1996
